year,trick_or_treating,gender,age,country,which_state_province_county_do_you_live_in,100_grand_bar,anonymous_brown_globs_that_come_in_black_and_orange_wrappers,any_full_sized_candy_bar,black_jacks,bonkers_the_candy,bonkers_the_board_game,bottle_caps,box_o_raisins,broken_glow_stick,butterfinger,cadbury_creme_eggs,candy_corn,candy_that_is_clearly_just_the_stuff_given_out_for_free_at_restaurants,caramellos,cash_or_other_forms_of_legal_tender,chardonnay,chick_o_sticks_we_don_t_know_what_that_is,chiclets,coffee_crisp,creepy_religious_comicschick_tracts,dental_paraphenalia,dots,dove_bars,fuzzy_peaches,generic_brand_acetaminophen,glow_sticks,goo_goo_clusters,good_n_plenty,gum_from_baseball_cards,gummy_bears_straight_up,hard_candy,healthy_fruit,heath_bar,hershey_s_dark_chocolate,hershey_s_milk_chocolate,hershey_s_kisses,hugs_actual_physical_hugs,jolly_rancher_bad_flavor,jolly_ranchers_good_flavor,joyjoy_mit_iodine!,junior_mints,senior_mints,kale_smoothie,kinder_happy_hippo,kit_kat,laffytaffy,lemonheads,licorice_not_black,licorice_yes_black,lindt_truffle,lollipops,mars,mary_janes,maynards,mike_and_ike,milk_duds,milky_way,regular_m&ms,peanut_m&m_s,blue_m&m_s,red_m&m_s,third_party_m&m_s,minibags_of_chips,mint_kisses,mint_juleps,mr_goodbar,necco_wafers,nerds,nestle_crunch,now_n_laters,peeps,pencils,person_of_interest_season_3_dvd_box_set_not_including_disc_4_with_hilarious_outtakes,pixy_stix,reese_s_peanut_butter_cups,reese_s_pieces,reggie_jackson_bar,rolos,skittles,smarties_american,smarties_commonwealth,snickers,sourpatch_kids_ie_abominations_of_nature,spotted_dick,starburst,sweet_tarts,swedish_fish,sweetums_a_friend_to_diabetes,tic_tacs,those_odd_marshmallow_circus_peanut_things,three_musketeers,tolberone_something_or_other,trail_mix,twix,vials_of_pure_high_fructose_corn_syrup_for_main_lining_into_your_vein,vicodin,whatchamacallit_bars,white_bread,whole_wheat_anything,york_peppermint_patties
2016-10-24T05:20:21Z,No,Other,34.0,United States of America,IN,JOY,DESPAIR,JOY,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,MEH,MEH,DESPAIR,JOY,MEH,JOY,JOY,MEH,MEH,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH
2016-10-24T05:21:19Z,No,Female,46.0,USA,the Mitten,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,JOY
2016-10-24T05:21:27Z,No,Male,41.0,uSA,California,MEH,DESPAIR,JOY,NA,NA,NA,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,NA,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,NA,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,DESPAIR,NA,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,NA,NA,DESPAIR,MEH,JOY,MEH,JOY,MEH,MEH,MEH,JOY,JOY,JOY,MEH,NA,MEH,MEH,NA,DESPAIR,MEH,DESPAIR,MEH,JOY,MEH,NA,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,DESPAIR,DESPAIR,MEH,NA,DESPAIR,JOY,JOY,JOY,MEH,JOY,DESPAIR,MEH,NA,DESPAIR,DESPAIR,JOY
2016-10-24T05:22:12Z,Yes,Male,45.0,Japan,Tokyo,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,NA,MEH,JOY,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,DESPAIR,JOY,JOY,JOY,JOY,DESPAIR,MEH,JOY,JOY,MEH,MEH,JOY,JOY,JOY,JOY,JOY,JOY,JOY,JOY,DESPAIR,JOY,JOY
2016-10-24T05:22:30Z,No,Male,40.0,united states,ca,MEH,DESPAIR,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,JOY,DESPAIR,JOY,MEH,MEH,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,MEH,MEH,DESPAIR,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,JOY
2016-10-24T05:24:08Z,No,Female,31.0,USA,Ny,MEH,DESPAIR,JOY,MEH,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,DESPAIR,MEH,MEH,NA,DESPAIR,MEH,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,DESPAIR,MEH,JOY,JOY,MEH,JOY,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,DESPAIR,MEH,MEH,JOY,DESPAIR,MEH,JOY,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY
2016-10-24T05:24:11Z,No,Female,33.0,USA,WA,JOY,DESPAIR,MEH,NA,MEH,NA,DESPAIR,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,NA,DESPAIR,JOY,NA,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,NA,JOY,MEH,JOY,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,DESPAIR,NA,JOY,JOY,MEH,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,NA,MEH,JOY,NA,JOY,JOY,DESPAIR,MEH,JOY,MEH,DESPAIR,JOY,MEH,JOY,JOY,MEH,DESPAIR,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,JOY,JOY
2016-10-24T05:26:18Z,No,Male,35.0,canada,Ontario,NA,DESPAIR,JOY,NA,NA,NA,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,NA,NA,NA,NA,MEH,JOY,DESPAIR,DESPAIR,NA,JOY,MEH,NA,JOY,NA,NA,NA,NA,NA,DESPAIR,NA,JOY,JOY,JOY,JOY,NA,NA,NA,NA,NA,NA,NA,JOY,MEH,NA,NA,NA,NA,NA,JOY,NA,NA,NA,NA,NA,JOY,JOY,JOY,JOY,NA,NA,NA,NA,NA,NA,JOY,JOY,NA,NA,NA,NA,NA,JOY,JOY,NA,JOY,MEH,DESPAIR,JOY,JOY,MEH,NA,MEH,MEH,MEH,NA,NA,NA,JOY,JOY,NA,JOY,NA,NA,NA,NA,NA,NA
2016-10-24T05:26:35Z,Yes,Male,49.0,USA,NJ,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,MEH,MEH,DESPAIR,MEH,MEH,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,JOY,JOY,DESPAIR,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,JOY,MEH,MEH,JOY,DESPAIR,JOY,JOY,DESPAIR,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,JOY
2016-10-24T05:27:00Z,No,Male,44.0,united states,nh,MEH,DESPAIR,MEH,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,JOY,JOY,MEH,MEH,JOY,MEH,MEH,DESPAIR,MEH,JOY,DESPAIR,DESPAIR,JOY,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,NA,NA,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,MEH,JOY,NA,MEH,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,MEH,JOY,JOY,JOY,JOY,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,JOY,JOY,MEH,DESPAIR,MEH
2016-10-24T05:30:39Z,No,Male,45.0,United States,Tennessee,JOY,DESPAIR,JOY,MEH,MEH,JOY,JOY,MEH,DESPAIR,JOY,MEH,JOY,MEH,JOY,JOY,DESPAIR,MEH,MEH,JOY,MEH,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,JOY,MEH,MEH,JOY,DESPAIR,MEH,DESPAIR,MEH,MEH,MEH,JOY,MEH,MEH,MEH,MEH,JOY,JOY,JOY,MEH,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,MEH,JOY,JOY,DESPAIR,JOY,MEH,JOY,DESPAIR,JOY,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,DESPAIR,DESPAIR,JOY
2016-10-24T05:31:48Z,No,Male,34.0,canada,newfoundland,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,DESPAIR,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,MEH,JOY,MEH,DESPAIR,DESPAIR,MEH,DESPAIR,MEH,MEH,JOY,JOY,JOY,DESPAIR,DESPAIR,MEH,MEH,JOY,MEH,JOY,MEH,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,JOY,MEH,MEH,MEH,JOY,MEH,DESPAIR,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,MEH,JOY,JOY,MEH,MEH,MEH,MEH,MEH,JOY,JOY,MEH,JOY,MEH,JOY,MEH,MEH,DESPAIR,MEH,MEH,MEH,MEH,MEH,DESPAIR,MEH,DESPAIR,DESPAIR,MEH
2016-10-24T05:33:18Z,No,Male,48.0,United States,Maryland,MEH,DESPAIR,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,DESPAIR,JOY,DESPAIR,DESPAIR,DESPAIR,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,MEH,DESPAIR,DESPAIR,JOY,JOY,DESPAIR,MEH,JOY,JOY,DESPAIR,JOY,MEH,DESPAIR,DESPAIR,DESPAIR,MEH,JOY,MEH,JOY,MEH,DESPAIR,MEH,DESPAIR,MEH,JOY,JOY,MEH,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,MEH,MEH,DESPAIR,DESPAIR,DESPAIR,JOY,JOY,MEH,JOY,MEH,JOY,MEH,DESPAIR,JOY,JOY,JOY,JOY,MEH,JOY,JOY,JOY,MEH,JOY,JOY,DESPAIR,JOY,JOY,JOY,JOY,MEH,DESPAIR,JOY,JOY,MEH,JOY,DESPAIR,DESPAIR,MEH,DESPAIR,DESPAIR,JOY
